,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
499,진월면 공영주차장,04,전라남도 광양시 진월면 선소리 208-8,34.97791134,127.75903312,200,동시,46,,,Y,2,2
500,마동체육공원,04,전라남도 광양시 마동 1188,34.9371113,127.7077446,200,동시,46,,,Y,2,2
501,마동체육공원,04,전라남도 광양시 마동 1188,34.9371113,127.7077446,200,동시,46,,,Y,2,2
502,서천변주차장,04,전라남도 광양시 광양읍 덕례리 산 6,34.96683899,127.57878674,200,동시,46,,,Y,2,2
503,서천변주차장,04,전라남도 광양시 광양읍 덕례리 산 6,34.96683899,127.57878674,200,동시,46,,,Y,2,2
504,광양시청(본청),04,전라남도 광양시 시청로 33,34.94096075,127.69556649,200,동시,46,,,Y,2,2
505,광양시청(본청),04,전라남도 광양시 시청로 33,34.94096075,127.69556649,200,동시,46,,,Y,2,2
506,농업기술원1,04,전라남도 나주시 세남로 1508,35.022518,126.829812,200,동시,46,,,Y,2,2
507,농업기술원1,04,전라남도 나주시 세남로 1508,35.022518,126.829812,200,동시,46,,,Y,2,2
508,서해지방해양경찰청,04,전라남도 목포시 남악로162번길25,34.803938,126.45765,200,동시,46,,,Y,2,2
509,서해지방해양경찰청,04,전라남도 목포시 남악로162번길25,34.803938,126.45765,200,동시,46,,,Y,2,2
510,목포해양경찰서,04,전라남도 목포시 청호로 231,34.809665,126.367121,200,동시,46,,,Y,9,9
511,목포해양경찰서,04,전라남도 목포시 청호로 231,34.809665,126.367121,200,동시,46,,,Y,9,9
512,도립도서관 주차장,04,전라남도 무안군 삼향읍 남악로 210,34.805028,126.461919,200,동시,46,,,Y,2,2
513,도립도서관 주차장,04,전라남도 무안군 삼향읍 남악로 210,34.805028,126.461919,200,동시,46,,,Y,2,2
514,남악복합주민센터 옥외 주차장,04,전라남도 무안군 삼향읍 남악3로 40,34.808752,126.460597,200,동시,46,,,Y,9,9
515,남악복합주민센터 옥외 주차장,04,전라남도 무안군 삼향읍 남악3로 40,34.808752,126.460597,200,동시,46,,,Y,9,9
516,밀리터리테마파크,04,전라남도 무안군 몽탄면 우명길 21,34.96492310,126.51509349,200,동시,46,,,Y,2,2
517,밀리터리테마파크,04,전라남도 무안군 몽탄면 우명길 21,34.96492310,126.51509349,200,동시,46,,,Y,2,2
518,전통생활테마파크,04,전라남도 무안군 몽탄면 청룡리 401,34.89232364,126.50216335,200,동시,46,,,Y,2,2
519,전통생활테마파크,04,전라남도 무안군 몽탄면 청룡리 401,34.89232364,126.50216335,200,동시,46,,,Y,2,2
520,겸백면사무소 주차장,04,전라남도 보성군 겸백면 석호리 456-3,34.82933643,127.15203466,200,동시,46,,,Y,2,2
521,겸백면사무소 주차장,04,전라남도 보성군 겸백면 석호리 456-3,34.82933643,127.15203466,200,동시,46,,,Y,2,2
522,문덕면사무소 주차장,04,전라남도 보성군 문덕면 운곡리 655-9,34.92930742,127.17226199,200,동시,46,,,Y,2,2
523,문덕면사무소 주차장,04,전라남도 보성군 문덕면 운곡리 655-9,34.92930742,127.17226199,200,동시,46,,,Y,2,2
524,미력면사무소 주차장,04,전라남도 보성군 미력면 도개리 667,34.80071741,127.0875208,200,동시,46,,,Y,2,2
525,미력면사무소 주차장,04,전라남도 보성군 미력면 도개리 667,34.80071741,127.0875208,200,동시,46,,,Y,2,2
526,보성농업기술센터 주차장,04,전라남도 보성군 보성읍 옥평리 781,34.76239881,127.09185600,200,동시,46,,,Y,2,2
527,보성농업기술센터 주차장,04,전라남도 보성군 보성읍 옥평리 781,34.76239881,127.09185600,200,동시,46,,,Y,2,2
528,율어면사무소 주차장,04,전라남도 보성군 율어면 문양리 265-3,34.8708296,127.1868069,200,동시,46,,,Y,2,2
529,율어면사무소 주차장,04,전라남도 보성군 율어면 문양리 265-3,34.8708296,127.1868069,200,동시,46,,,Y,2,2
530,근로복지공단 순천병원,04,null,34.9607254,127.5241989,200,동시,46,,,N,2,2
531,근로복지공단 순천병원,04,null,34.9607254,127.5241989,200,동시,46,,,N,2,2
532,신안갯벌센터 주차장,04,전라남도 신안군 증도면 우전리 77,34.96435680,126.13780310,200,동시,46,,,Y,2,2
533,신안갯벌센터 주차장,04,전라남도 신안군 증도면 우전리 77,34.96435680,126.13780310,200,동시,46,,,Y,2,2
534,뮤지엄파크 주차장,04,전라남도 신안군 자은면 백산리 산 271-22,34.8769103,125.9994315,200,동시,46,,,Y,2,2
535,뮤지엄파크 주차장,04,전라남도 신안군 자은면 백산리 산 271-22,34.8769103,125.9994315,200,동시,46,,,Y,2,2
536,임자 대광해수욕장 주차장,04,전라남도 신안군 임자면 대기리 2523-11,35.10125230,126.07375740,200,동시,46,,,Y,2,2
537,임자 대광해수욕장 주차장,04,전라남도 신안군 임자면 대기리 2523-11,35.10125230,126.07375740,200,동시,46,,,Y,2,2
538,천사대교 입구 광장,04,전라남도 신안군 압해읍 송공리 441-26,34.8605338,126.2351138,200,동시,46,,,Y,2,2
539,천사대교 입구 광장,04,전라남도 신안군 압해읍 송공리 441-26,34.8605338,126.2351138,200,동시,46,,,Y,2,2
540,여수선소공영주차장,04,전라남도 여수시  시전동 684,34.75588912,127.66478496,200,동시,46,,,Y,2,2
541,여수선소공영주차장,04,전라남도 여수시  시전동 684,34.75588912,127.66478496,200,동시,46,,,Y,2,2
542,여수캠퍼스충전소(국동),04,전라남도 여수시 신월로 648,34.7282744,127.7185525,200,동시,46,,,Y,2,2
543,여수캠퍼스충전소(국동),04,전라남도 여수시 신월로 648,34.7282744,127.7185525,200,동시,46,,,Y,2,2
544,이순신공원 주차장,04,전라남도 여수시 웅천동 1865-1,34.742107,127.6769501,200,동시,46,,,Y,2,2
545,이순신공원 주차장,04,전라남도 여수시 웅천동 1865-1,34.742107,127.6769501,200,동시,46,,,Y,2,2
546,법성 단오제 전수교육관,04,전라남도 영광군 법성면 진내리 642-7,35.36233610,126.4351410,200,동시,46,,,Y,2,2
547,법성 단오제 전수교육관,04,전라남도 영광군 법성면 진내리 642-7,35.36233610,126.4351410,200,동시,46,,,Y,2,2
548,불갑사 버스주차장,04,전라남도 영광군 불갑면 모악리 380-11,35.20341,126.538218,200,동시,46,,,Y,2,2
549,불갑사 버스주차장,04,전라남도 영광군 불갑면 모악리 380-11,35.20341,126.538218,200,동시,46,,,Y,2,2
550,한빛원자력 환경실험실 주차장,04,전라남도 영광군 홍농읍 상하리 1373-7,35.396424,126.454477,200,동시,46,,,Y,2,2
551,한빛원자력 환경실험실 주차장,04,전라남도 영광군 홍농읍 상하리 1373-7,35.396424,126.454477,200,동시,46,,,Y,2,2
552,공영주차타워(영암읍성),04,전라남도 영암군 영암읍 동무리 122,34.799228,126.698779,200,동시,46,,,Y,2,2
553,공영주차타워(영암읍성),04,전라남도 영암군 영암읍 동무리 122,34.799228,126.698779,200,동시,46,,,Y,2,2
554,금정면사무소 주차장,04,전라남도 영암군 금정면 용흥리 1169-20,34.863289,126.749418,200,동시,46,,,Y,2,2
555,금정면사무소 주차장,04,전라남도 영암군 금정면 용흥리 1169-20,34.863289,126.749418,200,동시,46,,,Y,2,2
556,영암군 농업기술센터,04,전라남도 영암군 덕진면 금호길 11,34.826207,126.672824,200,동시,46,,,Y,2,2
557,영암군 농업기술센터,04,전라남도 영암군 덕진면 금호길 11,34.826207,126.672824,200,동시,46,,,Y,2,2
558,삼호농어촌복합체육관,04,전라남도 영암군 삼호읍 용앙리 1637,34.757174,126.451988,200,동시,46,,,Y,2,2
559,삼호농어촌복합체육관,04,전라남도 영암군 삼호읍 용앙리 1637,34.757174,126.451988,200,동시,46,,,Y,2,2
560,터미널 제1 주차장,04,전라남도 장성군 장성읍 영천로 125,35.297798,126.780925,200,동시,46,,,Y,2,2
561,터미널 제1 주차장,04,전라남도 장성군 장성읍 영천로 125,35.297798,126.780925,200,동시,46,,,Y,2,2
562,엄다면사무소,04,전라남도 함평군 엄다면 엄다길 53,35.010443,126.515699,200,동시,46,,,Y,9,9
563,엄다면사무소,04,전라남도 함평군 엄다면 엄다길 53,35.010443,126.515699,200,동시,46,,,Y,9,9
564,학나래 문화복지센터,04,전라남도 함평군 학교면 사거리 553,35.02057,126.535058,200,동시,46,,,Y,2,2
565,학나래 문화복지센터,04,전라남도 함평군 학교면 사거리 553,35.02057,126.535058,200,동시,46,,,Y,2,2
566,고산 윤선도 유물전시관 공영주차장,04,전라남도 해남군 해남읍 연동리 109-1,34.54964580,126.6199876,200,동시,46,,,Y,9,9
567,고산 윤선도 유물전시관 공영주차장,04,전라남도 해남군 해남읍 연동리 109-1,34.54964580,126.6199876,200,동시,46,,,Y,9,9
568,산이면사무소,04,전라남도 해남군 산이면 초송리 527-3,37.64471992,126.44826898,200,동시,46,,,Y,2,2
569,산이면사무소,04,전라남도 해남군 산이면 초송리 527-3,37.64471992,126.44826898,200,동시,46,,,Y,2,2
570,옥천면사무소,04,전라남도 해남군 옥천면 영춘리 526,34.56674078,126.64773415,200,동시,46,,,Y,2,2
571,옥천면사무소,04,전라남도 해남군 옥천면 영춘리 526,34.56674078,126.64773415,200,동시,46,,,Y,2,2
572,해남 미황사 주차장,04,전라남도 해남군 송지면 미황사길 164,34.38354300,126.57484940,200,동시,46,,,Y,2,2
