,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1,0 : 2,0 : 3,0 : 4,0 : 5
0,산굼부리,03,제주특별자치도 제주시 조천읍 비자림로 768,33.434940,126.689497,50,단독,50,,,N,9,9,9,9,9,9
1,노형동주민센터,06,"제주특별자치도 제주시 노형9길 9-4, ",33.483044,126.477120,50,단독,50,,,Y,9,9,9,9,9,9
2,방송통신융합센터,06,제주특별자치도 제주시 첨단로 241,33.450595,126.572484,50,단독,50,,,N,9,9,9,9,9,9
3,돌문화공원,06,제주특별자치도 제주시 조천읍 남조로 2023,33.445733,126.663812,50,단독,50,,,N,9,9,9,9,9,9
4,제주종합경기장1,06,제주특별자치도 제주시 서광로2길 24,33.4960616,126.5165158,50,단독,50,,,N,9,9,9,9,9,9
5,제주종합경기장2,06,제주특별자치도 제주시 서광로2길 24,33.4955068,126.5164952,50,단독,50,,,N,9,9,9,9,9,9
6,제주서귀포시청 제1청사,06,제주특별자치도 서귀포시 중앙로 105,33.253965,126.560237,50,단독,50,,,N,9,9,9,9,9,9
7,제주일출랜드,03,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.383533,126.841366,50,단독,50,,,N,9,9,9,9,9,9
8,제주국제컨벤션센터,03,제주특별자치도 서귀포시 중문관광로 224,33.241630,126.425461,50,단독,50,,,N,9,9,9,9,9,9
9,중문랜드,06,제주특별자치도 서귀포시 소보리당로164번길 62,33.263975,126.385209,50,단독,50,,,N,9,9,9,9,9,9
10,서귀포천지연폭포,03,제주특별자치도 서귀포시 남성중로 2-15,33.244797,126.559957,50,단독,50,,,N,9,9,9,9,9,9
11,만장굴,06,제주특별자치도 제주시 구좌읍 만장굴길 182,33.530833,126.772028,50,단독,50,,,Y,9,9,9,9,9,9
12,도남1차e편한세상아파트,06,제주특별자치도 제주시 오남로 7-13,33.493889,126.521524,50,단독,50,,,Y,9,9,9,9,9,9
13,보건환경연구원,06,제주특별자치도 제주시 삼동길 41,33.4798477,126.4950629,50,단독,50,,,Y,9,9,9,9,9,9
14,남원읍 공영주차장,06,제주특별자치도 서귀포시 남원읍 남원리 84-2,33.2788767,126.7213139,50,단독,50,,,N,2,2,2,2,2,2
15,위미의례회관,06,제주특별자치도 서귀포시 남원읍 중산간동로 6862,33.289615,126.6576261,50,단독,50,,,N,2,2,2,2,2,2
16,대정감협 인근 공영주차장,06,제주특별자치도 서귀포시 대정읍 하모리 964-2,33.2229383,126.2520224,50,단독,50,,,N,2,2,2,2,2,2
17,퐁낭 작은 도서관 앞 주차장,06,제주특별자치도 서귀포시 동홍동 470-1,33.2553617,126.5720303,50,단독,50,,,N,3,3,3,3,3,3
18,월드컵경기장 인근 공영주차장,06,제주특별자치도 서귀포시 법환동 870,33.2475057,126.510693,50,단독,50,,,N,9,9,9,9,9,9
19,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,2,2,2,2,2
20,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,3,3,3,3,3
21,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,2,2,2,2,2
22,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,2,2,2,2,2
23,중문 관광단지,06,제주특별자치도 서귀포시 색달동 2889-1,33.2462149,126.414261,50,단독,50,,,N,2,2,2,2,2,2
24,중앙공영주차장(우리은행 서귀포점 인근 공영주차장),06,제주특별자치도 서귀포시 서귀동 291-2,33.249649,126.5623255,50,단독,50,,,N,3,3,3,3,3,3
25,서귀포성당 뒤 주차장,06,제주특별자치도 서귀포시 서귀동 600-3,33.2436487,126.5628543,50,단독,50,,,N,3,3,3,3,3,3
26,국토교통부 인재개발원 앞 주차장,06,제주특별자치도 서귀포시 서호동 1603,33.2523361,126.5157793,50,단독,50,,,N,2,2,2,2,2,2
27,천지연폭포주차장,06,제주특별자치도 서귀포시 서홍동 666-1,33.2447051,126.5597817,50,단독,50,,,N,2,2,2,2,2,2
28,천지연폭포주차장,06,제주특별자치도 서귀포시 서홍동 666-1,33.2447051,126.5597817,50,단독,50,,,N,2,2,2,2,2,2
29,성산읍 공영주차장,06,제주특별자치도 서귀포시 성산읍 고성리 327-1,33.4485209,126.9166899,50,단독,50,,,N,2,2,2,2,2,2
30,성산일출봉 공영주차장,06,제주특별자치도 서귀포시 성산읍 일출로 284-6,33.4619365,126.9355814,50,단독,50,,,N,3,3,3,3,3,3
31,성산일출봉 공영주차장,06,제주특별자치도 서귀포시 성산읍 일출로 284-6,33.4619365,126.9355814,50,단독,50,,,N,2,2,2,2,2,2
32,안덕우체국 뒤 주차장,06,제주특별자치도 서귀포시 안덕면 화순리 1072,33.2460981,126.3348886,50,단독,50,,,N,2,2,2,2,2,2
33,서귀포시 매일시장 공영주차장,06,제주특별자치도 서귀포시 중앙로62번길 18,33.2501492,126.5632261,50,단독,50,,,N,2,2,2,2,2,2
34,표선민속마을 해비치 해변 공영주차장,06,제주특별자치도 서귀포시 표선면 민속해안로 631-45,33.3248308,126.8424054,50,단독,50,,,N,2,2,2,2,2,2
35,표선민속마을 해비치 해변 공영주차장,06,제주특별자치도 서귀포시 표선면 민속해안로 631-45,33.3248308,126.8424054,50,단독,50,,,N,2,2,2,2,2,2
36,표선민속마을 해비치 해변 공영주차장,06,제주특별자치도 서귀포시 표선면 민속해안로 631-45,33.3248308,126.8424054,50,단독,50,,,N,2,2,2,2,2,2
37,표선민속마을 해비치 해변 공영주차장,06,제주특별자치도 서귀포시 표선면 민속해안로 631-45,33.3248308,126.8424054,50,단독,50,,,N,9,9,9,9,9,9
38,표선민속마을 해비치 해변 공영주차장,06,제주특별자치도 서귀포시 표선면 민속해안로 631-45,33.3248308,126.8424054,50,단독,50,,,N,3,3,3,2,2,2
39,표선 의례회관 앞 공영주차장,06,제주특별자치도 서귀포시 표선면 표선리 2103,33.3270822,126.8234354,50,단독,50,,,N,2,2,2,2,2,2
40,회수사거리 인근 공영주차장,06,제주특별자치도 서귀포시 회수동 788-2,33.2632286,126.4426783,50,단독,50,,,N,2,2,2,2,2,2
41,오일장 인근 주차장,06,제주특별자치도 제주시 구좌읍 세화리 1500-41 ,33.524856,126.8568472,50,단독,50,,,N,3,3,3,3,3,3
42,용암해수산업화지원센터,06,제주특별자치도 제주시 구좌읍 일주동로 2706-40,33.5423831,126.8121624,50,단독,50,,,N,2,2,2,2,2,2
43,제주상공회의소 뒤편 주차장,06,제주특별자치도 제주시 도남동 574-3,33.4904403,126.5198517,50,단독,50,,,N,9,9,9,9,9,9
44,이호동 주민센터,06,제주특별자치도 제주시 백포서길 9,33.5000077,126.4580641,50,단독,50,,,N,2,2,2,2,2,2
45,한국폴리텍대학 제주캠퍼스,06,제주특별자치도 제주시 산천단 동3길 2,33.4469182,126.561226,50,단독,50,,,N,2,2,2,2,2,2
46,한라수목원,06,제주특별자치도 제주시 수목원길 72,33.4690818,126.4908317,50,단독,50,,,N,2,2,2,2,2,2
47,탐라중학교 공영주차장,06,제주특별자치도 제주시 아라동 3008-1,33.4914869,126.5442609,50,단독,50,,,N,3,3,3,3,3,3
48,아라지구 공영주차장,06,제주특별자치도 제주시 아라동 6140-4,33.4701598,126.5466775,50,단독,50,,,N,2,2,2,2,2,2
49,상가리사무소,06,제주특별자치도 제주시 애월읍 상가리 1196-1,33.4497188,126.3457119,50,단독,50,,,N,2,2,2,2,3,3
50,오일시장 일대 공영주차장,06,제주특별자치도 제주시 오일장서길 26,33.4965694,126.4738058,50,단독,50,,,N,2,2,2,2,2,2
51,외도구획정리지구 공영주차장,06,제주특별자치도 제주시 외도1동 482-1,33.4899205,126.4325935,50,단독,50,,,N,2,2,2,2,2,2
52,삼성혈 인근 공영주차장,06,제주특별자치도 제주시 이도1동 1293-1 ,33.5045526,126.5305231,50,단독,50,,,N,2,2,2,2,2,2
53,이도주민센터,06,제주특별자치도 제주시 중앙로25길 17,33.5068398,126.5271784,50,단독,50,,,N,3,3,3,2,2,2
54,영락교회 인근 공영주차장,06,제주특별자치도 제주시 일도2동 488-1,33.5103385,126.544115,50,단독,50,,,N,2,2,2,2,2,2
55,제주시 상하수도본부,06,제주특별자치도 제주시 조천읍 중산간동로 601,33.4997499,126.6496365,50,단독,50,,,N,9,9,9,9,9,9
56,하귀1지구 공영주차장,06,제주특별자치도 제주시 하귀1리 176-3,33.4855867,126.414308,50,단독,50,,,N,2,2,2,2,2,2
57,한경도서관 앞 주차장,06,제주특별자치도 제주시 한경면 신창리 233-1,33.3500436,126.184563,50,단독,50,,,N,2,2,2,2,2,2
58,한림공원 인근 공영주차장,06,제주특별자치도 제주시 한림읍 금능리 2018,33.3904865,126.2380097,50,단독,50,,,N,2,2,2,2,2,2
59,한림읍체육관 주차장,06,제주특별자치도 제주시 한림읍 한림중앙로 71-9,33.4092691,126.2695843,50,단독,50,,,N,2,2,2,2,2,2
60,한림읍체육관 주차장,06,제주특별자치도 제주시 한림읍 한림중앙로 71-9,33.4092691,126.2695843,50,단독,50,,,N,2,2,2,2,2,2
61,한림읍체육관 주차장,06,제주특별자치도 제주시 한림읍 한림중앙로 71-9,33.4092691,126.2695843,50,단독,50,,,N,2,2,2,2,2,2
62,화북동주민센터,06,제주특별자치도 제주시 화북1동 1976-6,33.5198336,126.5657078,50,단독,50,,,N,3,3,3,3,3,3
63,한반도제주호텔,06,제주특별자치도 제주시 연동2334-4,33.493426,126.490957,50,단독,50,,,Y,2,2,2,2,2,2
64,㈜행운식품,06,제주특별자치도 제주시 조천읍 함덕리 906번지,33.536916,126.669926,50,단독,50,,,Y,2,2,2,2,2,9
65,봄그리고가을리조트,06,제주특별자치도 서귀포시 성산읍 해맞이해안로2660,33.474152,126.91107,50,단독,50,,,Y,2,2,2,2,2,2
66,클럽다인리조트,06,제주특별자치도 제주시 애월읍 애월해안로400-9,33.471151,126.351032,50,단독,50,,,Y,2,2,2,2,2,2
67,롯데마트 제주점,06,제주특별자치도 제주시 연북로 1(노형동),33.482377,126.481771,50,단독,50,,,Y,3,3,3,3,3,3
68,제주공항,06,제주특별자치도 제주시 용담2동 2002,33.505395,126.495111,50,단독,50,,,Y,2,2,2,2,2,2
69,성산항 공영주차장,06,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",33.4726789,126.9322508,50,단독,50,,,Y,2,2,2,2,2,2
70,성산항 공영주차장,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",33.4726789,126.9322508,100,동시,50,,,Y,2,2,2,2,2,2
71,성산항 공영주차장,06,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",33.4726789,126.9322508,50,단독,50,,,Y,2,2,2,2,2,2
72,성산항 공영주차장,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",33.4726789,126.9322508,100,동시,50,,,Y,2,2,2,2,2,2
73,성산항 공영주차장,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",33.4726789,126.9322508,100,동시,50,,,Y,2,2,2,2,2,2
74,성산항 공영주차장,04,"제주특별자치도 서귀포시 성산읍 성산리 347-9, 주차타워 앞",33.4726789,126.9322508,100,동시,50,,,Y,2,2,2,2,2,2
75,대정문화체육센터,06,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",33.2637648,126.2359856,50,단독,50,,,Y,2,2,2,2,2,2
76,대정문화체육센터,04,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",33.2637648,126.2359856,100,동시,50,,,Y,2,2,2,2,2,2
77,대정문화체육센터,04,"제주특별자치도 서귀포시 대정읍 암반수마농로 419, 후문 우측",33.2637648,126.2359856,100,동시,50,,,Y,2,2,2,2,2,2
78,남원읍동부보건소,06,제주특별자치도 서귀포시 남원읍 태위로 527,33.275783,126.703417,50,단독,50,,,Y,2,2,2,2,2,2
79,서귀포시민회관,06,제주특별자치도 서귀포시 동홍로 31-7,33.251458,126.566931,50,단독,50,,,Y,9,9,9,9,9,9
80,돈내코야영장,06,제주특별자치도 서귀포시 돈내코로 114,33.300321,126.584802,50,단독,50,,,Y,2,2,2,2,2,2
81,안덕면사무소,06,제주특별자치도 서귀포시 안덕면 화순서서로 74,33.257546,126.330743,50,단독,50,,,Y,2,2,2,2,2,2
82,제주국제컨벤션센터2,06,제주특별자치도 서귀포시 중문관광로 224,33.241630,126.425469,50,단독,50,,,Y,2,2,2,2,2,2
83,구좌체육관,06,제주특별자치도 제주시 구좌읍 김녕로 209,33.556184,126.76167,50,단독,50,,,Y,2,2,2,2,2,2
84,제주해녀박물관,06,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.523056,126.862851,50,단독,50,,,Y,2,2,2,2,2,2
85,제주노루생태공원,06,제주특별자치도 제주시 명림로 520,33.444446,126.62665,50,단독,50,,,Y,9,9,9,9,9,9
86,별빛누리공원,06,제주특별자치도 제주시 선돌목동길 60,33.445028,126.549252,50,단독,50,,,Y,2,2,2,2,2,2
87,조천체육관,06,제주특별자치도 제주시 조천읍 조천18길 11-1,33.539725,126.643948,50,단독,50,,,Y,2,2,2,2,2,2
88,삼매봉도서관,06,제주특별자치도 서귀포시 남성중로 153번길 15,33.24446,126.552233,100,단독,50,,,Y,2,2,2,2,2,2
89,제주영어교육도시사무소,06,제주특별자치도 서귀포시 대정읍 구억리 625-1,33.287371,126.281962,100,단독,50,,,Y,3,3,3,3,3,2
90,효돈동주민센터,06,제주특별자치도 서귀포시 효돈로 152번길 7,33.26323,126.61563,100,단독,50,,,Y,9,9,9,9,9,9
91,봉개동공영주차장,06,제주특별자치도 제주시 봉개동 1854-1,33.490736,126.595291,100,단독,50,,,Y,2,2,2,2,2,2
92,북촌 너븐숭이4.3 기념관,06,제주특별자치도 제주시 조천읍 북촌3길 3,33.545812,126.688761,100,단독,50,,,Y,2,2,2,2,2,2
93,제주현대미술관,06,제주특별자치도 제주시 한경면 저지리 2114-68,33.338358,126.265658,100,단독,50,,,Y,2,2,2,2,2,2
94,협재해수욕장,06,제주특별자치도 제주시 한림읍 금능리 2018,33.390701,126.237628,100,단독,50,,,Y,3,3,3,3,3,3
95,대륜동주민센터,06,제주특별자치도 서귀포시 일주동로 9158,33.24813,126.51153,100,단독,50,,,Y,2,2,2,2,2,2
96,메밀가공시설,04,제주특별자치도 서귀포시 안덕면 광평리 211,33.328104,126.379729,200,동시,50,,,N,2,2,2,2,2,2
97,메밀가공시설,04,제주특별자치도 서귀포시 안덕면 광평리 211,33.328104,126.379729,200,동시,50,,,N,2,2,2,2,2,2
98,제스코 서귀포점,04,제주특별자치도 서귀포시 상효로39 (상효동 754-1),33.262444,126.595899,200,동시,50,,,N,3,3,3,3,3,3
99,제스코 서귀포점,04,제주특별자치도 서귀포시 상효로39 (상효동 754-1),33.262444,126.595899,200,동시,50,,,N,2,2,2,2,2,2
100,서귀포농업기술센터,04,제주특별자치도 서귀포시 남원읍 중산간동로 7413,33.288054,126.607012,200,동시,50,,,N,2,2,2,2,2,2
101,서귀포농업기술센터,04,제주특별자치도 서귀포시 남원읍 중산간동로 7413,33.288054,126.607012,200,동시,50,,,N,2,2,2,2,2,2
102,서귀포쓰레기위생매립장,06,제주특별자치도 서귀포시 산록남로 1241번길 145(색달동),33.307043,126.419086,100,단독,50,,,Y,2,2,2,2,2,2
103,서귀포쓰레기위생매립장,06,제주특별자치도 서귀포시 산록남로 1241번길 145(색달동),33.307043,126.419086,100,단독,50,,,Y,2,2,2,2,2,2
104,안덕면사무소,04,제주특별자치도 서귀포시 안덕면 화순서로 74,33.257492,126.330668,200,동시,50,,,Y,2,2,2,2,2,2
105,안덕면사무소,04,제주특별자치도 서귀포시 안덕면 화순서로 74,33.257492,126.330668,200,동시,50,,,Y,2,2,2,2,2,2
106,제주추사관,04,제주특별자치도 서귀포시 대정읍 추사로 36번길 1,33.249949,126.278264,200,동시,50,,,Y,2,2,2,2,2,2
107,제주추사관,04,제주특별자치도 서귀포시 대정읍 추사로 36번길 1,33.249949,126.278264,200,동시,50,,,Y,2,2,2,2,2,2
108,하효마을다목적회관,04,제주특별자치도 서귀포시 칠십리로 740(하효동),33.258481,126.617699,200,동시,50,,,Y,2,2,2,2,2,2
109,하효마을다목적회관,04,제주특별자치도 서귀포시 칠십리로 740(하효동),33.258481,126.617699,200,동시,50,,,Y,2,2,2,2,2,2
110,중앙공영주차장,04,제주특별자치도 서귀포시 서귀동 291-63(3),33.249934,126.562129,200,동시,50,,,N,9,9,9,9,9,9
111,중앙공영주차장,04,제주특별자치도 서귀포시 서귀동 291-63(3),33.249934,126.562129,200,동시,50,,,N,9,9,9,9,9,9
112,선흘리 낙선동4.3 유적지,04,제주특별자치도 제주시 조천읍 선흘서5길7,33.515459,126.693662,200,동시,50,,,Y,2,2,2,2,2,2
113,선흘리 낙선동4.3 유적지,04,제주특별자치도 제주시 조천읍 선흘서5길7,33.515459,126.693662,200,동시,50,,,Y,2,2,2,2,2,2
114,애월읍사무소,04,제주특별자치도 제주시 애월읍 일주서로 6322,33.462511,126.32973,200,동시,50,,,Y,9,9,9,9,9,9
115,애월읍사무소,04,제주특별자치도 제주시 애월읍 일주서로 6322,33.462511,126.32973,200,동시,50,,,Y,9,9,9,9,9,9
116,한국교통안전공단제주자동차검사소,06,제주특별자치도 제주시 삼봉로 79(도련2동),33.514325,126.589355,100,단독,50,,,N,2,2,2,2,2,2
117,한국교통안전공단제주자동차검사소,06,제주특별자치도 제주시 삼봉로 79(도련2동),33.514325,126.589355,100,단독,50,,,N,2,2,2,2,2,2
118,제주도립미술관,04,제주특별자치도 제주시 1100로 2894-78(연동),33.453067,126.488257,200,동시,50,,,Y,2,2,2,2,2,2
119,제주도립미술관,04,제주특별자치도 제주시 1100로 2894-78(연동),33.453067,126.488257,200,동시,50,,,Y,2,2,2,2,2,2
120,조천읍사무소,04,제주특별자치도 제주시 조천읍 신북로 194,33.534508,126.634244,200,동시,50,,,Y,2,2,2,2,2,2
121,조천읍사무소,04,제주특별자치도 제주시 조천읍 신북로 194,33.534508,126.634244,200,동시,50,,,Y,2,2,2,2,2,2
122,일출랜드,04,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.381622,126.84219,200,동시,50,,,Y,2,2,2,2,2,2
123,일출랜드,04,제주특별자치도 서귀포시 성산읍 중산간동로 4150-30,33.381622,126.84219,200,동시,50,,,Y,2,2,2,2,2,2
124,제주항일기념관,04,제주특별자치도 제주시 조천읍 신북로 303,33.541106,126.643424,200,동시,50,,,N,2,2,2,2,2,2
125,제주항일기념관,04,제주특별자치도 제주시 조천읍 신북로 303,33.541106,126.643424,200,동시,50,,,N,2,2,2,2,2,2
126,양지(추모)공원,04,제주특별자치도 제주시 516로 2810-31(영평동),33.43966,126.579013,200,동시,50,,,N,2,2,2,2,2,2
127,양지(추모)공원,04,제주특별자치도 제주시 516로 2810-31(영평동),33.43966,126.579013,200,동시,50,,,N,2,2,2,2,2,2
128,홍로공영주차장,06,제주특별자치도 서귀포시 동홍동 1480-6,33.255903,126.560992,100,단독,50,,,Y,2,2,2,2,2,2
129,홍로공영주차장,04,제주특별자치도 서귀포시 동홍동 1480-6,33.255903,126.560992,200,동시,50,,,Y,2,2,2,2,2,2
130,홍로공영주차장,04,제주특별자치도 서귀포시 동홍동 1480-6,33.255903,126.560992,200,동시,50,,,Y,2,2,2,2,2,2
131,돌문화공원,06,제주특별자치도 제주시 조천읍 남조로 2023,33.446122,126.664039,100,단독,50,,,Y,2,2,2,2,2,2
132,돌문화공원,04,제주특별자치도 제주시 조천읍 남조로 2023,33.446122,126.664039,200,동시,50,,,Y,2,2,2,2,2,2
133,돌문화공원,04,제주특별자치도 제주시 조천읍 남조로 2023,33.446122,126.664039,200,동시,50,,,Y,2,2,2,2,2,2
134,사려니숲길 주차장,06,제주특별자치도 제주시 봉개동 2750-2,33.434197,126.637593,100,단독,50,,,Y,2,2,2,2,2,2
135,사려니숲길 주차장,04,제주특별자치도 제주시 봉개동 2750-2,33.434197,126.637593,200,동시,50,,,Y,2,2,2,2,2,2
136,사려니숲길 주차장,04,제주특별자치도 제주시 봉개동 2750-2,33.434197,126.637593,200,동시,50,,,Y,2,2,2,2,2,2
137,제스코마트,06,제주특별자치도 제주시 연북로 444,33.480929,126.529513,100,단독,50,,,Y,3,3,3,3,3,3
138,제스코마트,04,제주특별자치도 제주시 연북로 444,33.480929,126.529513,200,동시,50,,,Y,2,2,2,2,2,2
139,제스코마트,04,제주특별자치도 제주시 연북로 444,33.480929,126.529513,200,동시,50,,,Y,2,2,2,2,2,2
140,신화역사공원 조성사업,04,제주특별자치도 서귀포시 안덕면 서광리 1279,33.29715,126.305416,100,단독,50,,,Y,9,9,9,9,9,9
141,신화역사공원 조성사업,04,제주특별자치도 서귀포시 안덕면 서광리 1279,33.29715,126.305416,100,단독,50,,,Y,9,9,9,9,9,9
142,신화역사공원 조성사업,04,제주특별자치도 서귀포시 안덕면 서광리 1279,33.29715,126.305416,100,단독,50,,,Y,9,9,9,9,9,9
143,신화역사공원 조성사업,04,제주특별자치도 서귀포시 안덕면 서광리 1279,33.29715,126.305416,100,단독,50,,,Y,9,9,9,9,9,9
144,서귀포보건소,04,제주특별자치도 서귀포시 중앙로 101번길 52,33.253073,126.555591,100,단독,50,,,Y,2,2,2,2,2,2
145,남원119센터,04,제주특별자치도 서귀포시 남원읍 남원체육관로221번길 23,33.281416,126.708647,100,단독,50,,,Y,2,2,2,2,2,2
146,홍로공영주차장,04,제주특별자치도 서귀포시 동홍동 1480-6,33.255905,126.560863,100,단독,50,,,N,2,2,2,2,2,2
147,서귀포시 교통행정과(공영버스 차고지),04,제주특별자치도 서귀포시 토평공단로 20,33.284338,126.588341,100,단독,50,,,Y,2,2,2,2,2,2
148,국민건강보험공단 서귀포지사,04,제주특별자치도 서귀포시 신서귀로 51번길 38,33.254949,126.507328,100,단독,50,,,Y,2,2,2,2,2,2
149,용담1동주민센터,04,제주특별자치도 제주시 용남3길 7,33.509217,126.513524,100,동시,50,,,Y,2,2,2,2,2,2
150,용담1동주민센터,04,제주특별자치도 제주시 용남3길 7,33.509217,126.513524,100,동시,50,,,Y,2,2,2,2,2,2
151,라마다프라자제주호텔,04,제주특별자치도 제주시 탑동로 66,33.518486,126.518645,100,단독,50,,,Y,2,2,2,2,2,2
152,서귀포항 해운항만과 사무실,04,제주특별자치도 서귀포시 칠십리로 72번길 1,33.239553,126.564491,200,동시,50,,,Y,9,9,9,9,9,9
153,서귀포항 해운항만과 사무실,04,제주특별자치도 서귀포시 칠십리로 72번길 1,33.239553,126.564491,200,동시,50,,,Y,9,9,9,9,9,9
154,강정크루즈터미널,04,제주특별자치도 서귀포시 말질로 261,33.229276,126.477424,200,동시,50,,,Y,9,9,9,9,9,9
155,강정크루즈터미널,04,제주특별자치도 서귀포시 말질로 261,33.229276,126.477424,200,동시,50,,,Y,9,9,9,9,9,9
156,아시아CGI애니메이션센터,04,제주특별자치도 서귀포시 동홍로 41,33.252386,126.56704,200,동시,50,,,Y,9,9,9,9,9,9
157,아시아CGI애니메이션센터,04,제주특별자치도 서귀포시 동홍로 41,33.252386,126.56704,200,동시,50,,,Y,2,2,2,2,2,2
158,한국중부발전㈜ 상명풍력발전소,04,제주특별자치도 제주시 한림읍 금악서길133,33.339766,126.29196,200,동시,50,,,Y,9,9,9,9,9,9
159,한국중부발전㈜ 상명풍력발전소,04,제주특별자치도 제주시 한림읍 금악서길133,33.339766,126.29196,200,동시,50,,,Y,9,9,9,9,9,9
160,한국중부발전㈜ 제주화력본부 사택,04,제주특별자치도 제주시 삼양1동 1637-1,33.527544,126.592481,200,동시,50,,,Y,9,9,9,9,9,9
161,한국중부발전㈜ 제주화력본부 사택,04,제주특별자치도 제주시 삼양1동 1637-1,33.527544,126.592481,200,동시,50,,,Y,9,9,9,9,9,9
162,문화예술진흥원,04,제주특별자치도 제주시 동광로 69,33.505176,126.535477,200,동시,50,,,Y,9,9,9,9,9,9
163,문화예술진흥원,04,제주특별자치도 제주시 동광로 69,33.505176,126.535477,200,동시,50,,,Y,9,9,9,9,9,9
164,제주특별자치도의회,04,제주특별자치도 제주시 문연로 13,33.489975,126.499794,200,동시,50,,,Y,9,9,9,9,9,9
165,제주특별자치도의회,04,제주특별자치도 제주시 문연로 13,33.489975,126.499794,200,동시,50,,,Y,2,2,2,2,2,2
166,제주농업기술센터,04,제주특별자치도 제주시 애월읍 상귀길 173,33.457922,126.4039,200,동시,50,,,Y,9,9,9,9,9,9
167,제주농업기술센터,04,제주특별자치도 제주시 애월읍 상귀길 173,33.457922,126.4039,200,동시,50,,,Y,2,2,2,2,2,2
168,김녕119지역센터,04,제주특별자치도 제주시 구좌읍 김녕로 242,33.554272,126.76293,200,동시,50,,,Y,2,2,2,2,2,2
169,김녕119지역센터,04,제주특별자치도 제주시 구좌읍 김녕로 242,33.554272,126.76293,200,동시,50,,,Y,2,2,2,2,2,2
170,용암해수산업화지원센터 2호관,04,제주특별자치도 제주시 구좌읍 일주동로 2708-19,33.541291,126.816172,200,동시,50,,,Y,9,9,9,9,9,9
171,용암해수산업화지원센터 2호관,04,제주특별자치도 제주시 구좌읍 일주동로 2708-19,33.541291,126.816172,200,동시,50,,,Y,9,9,9,9,9,9
172,제주특별자치도교육청,04,제주특별자치도 제주시 문연로 5,33.490464,126.497529,200,동시,50,,,Y,2,2,2,2,2,2
173,제주특별자치도교육청,04,제주특별자치도 제주시 문연로 5,33.490464,126.497529,200,동시,50,,,Y,2,2,2,2,2,2
174,동녘도서관,04,제주특별자치도 제주시 구좌읍 일주동로 3132,33.520768,126.854705,200,동시,50,,,Y,9,9,9,9,9,9
175,동녘도서관,04,제주특별자치도 제주시 구좌읍 일주동로 3132,33.520768,126.854705,200,동시,50,,,Y,2,2,2,2,2,2
176,제주시 외도일동 공영주차장,04,제주특별자치도 제주시 외도일동 632-7,33.485522,126.428719,100,단독,50,,,Y,9,9,9,9,9,9
177,제주시 외도일동 공영주차장,04,제주특별자치도 제주시 외도일동 632-7,33.485522,126.428719,100,단독,50,,,Y,9,9,9,9,9,9
178,비자림,04,제주특별자치도 제주시 구좌읍 비자숲길 55,33.491586,126.811214,200,동시,50,,,Y,9,9,9,9,9,9
179,비자림,04,제주특별자치도 제주시 구좌읍 비자숲길 55,33.491586,126.811214,200,동시,50,,,Y,2,2,2,2,2,2
180,월드컵경기장,04,제주특별자치도 서귀포시 월드컵로 31,33.246551,126.5071,200,동시,50,,,Y,2,2,2,2,2,2
181,월드컵경기장,04,제주특별자치도 서귀포시 월드컵로 31,33.246551,126.5071,200,동시,50,,,Y,3,3,3,3,3,2
182,월드컵경기장,04,제주특별자치도 서귀포시 월드컵로 31,33.246551,126.5071,200,동시,50,,,Y,9,9,9,9,9,9
183,월드컵경기장,04,제주특별자치도 서귀포시 월드컵로 31,33.246551,126.5071,200,동시,50,,,Y,9,9,9,9,9,9
184,제주4.3평화재단 공원,04,제주특별자치도 제주시 명림로 430,33.450197,126.621615,100,단독,50,,,Y,9,9,9,9,9,9
185,제주4.3평화재단 공원,04,제주특별자치도 제주시 명림로 430,33.450197,126.621615,100,단독,50,,,Y,3,3,3,3,3,3
186,제주4.3평화재단 공원,04,제주특별자치도 제주시 명림로 430,33.450197,126.621615,100,단독,50,,,Y,9,9,9,9,9,9
187,제주4.3평화재단 공원,04,제주특별자치도 제주시 명림로 430,33.450197,126.621615,100,단독,50,,,Y,9,9,9,9,9,9
188,제주국제대학교,04,제주특별자치도 제주시 516로 2870,33.44059,126.572195,200,동시,50,,,Y,9,9,9,9,9,9
