,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1,0 : 2,0 : 3,0 : 4,0 : 5
3103,종합경기장,06,제주특별자치도 제주시 오라1동 1163-4,33.4955320993,126.5173239443,,,50,,,Y,3,3,3,3,3,3
3104,종합경기장,06,제주특별자치도 제주시 오라1동 1163-4,33.4955320993,126.5173239443,,,50,,,Y,3,3,3,3,3,3
3105,종합경기장,06,제주특별자치도 제주시 오라1동 1163-4,33.4955320993,126.5173239443,,,50,,,Y,2,2,2,2,2,2
3106,서부소방서,06,제주특별자치도 제주시 한림읍 한림중앙로 150,33.402687,126.270434,,,50,,,Y,2,2,2,2,2,2
3107,서부소방서,06,제주특별자치도 제주시 한림읍 한림중앙로 150,33.402687,126.270434,,,50,,,Y,2,2,2,2,2,2
3108,제주 삼양 유적지,06,제주특별자치도 제주시 삼양1동 1660-5,33.523906,126.588170,,,50,,,Y,2,2,2,2,2,2
3109,제주 삼양 유적지,06,제주특별자치도 제주시 삼양1동 1660-5,33.523906,126.588170,,,50,,,Y,2,2,2,2,2,2
3110,제주의료원,06,제주특별자치도 제주시 아라1동 4-17,33.445522,126.560081,,,50,,,Y,2,2,2,2,2,2
3111,제주의료원,06,제주특별자치도 제주시 아라1동 4-17,33.445522,126.560081,,,50,,,Y,2,2,2,2,2,2
3112,한림체육관,06,제주특별자치도 제주시 한림읍 한림리 887-2,33.409203,126.268436,,,50,,,Y,2,2,2,2,2,2
3113,한림체육관,06,제주특별자치도 제주시 한림읍 한림리 887-2,33.409203,126.268436,,,50,,,Y,2,2,2,2,2,2
3114,한경119센터,06,제주특별자치도 제주시 일주서로 4218,33.342896,126.182928,,,50,,,Y,9,9,9,9,9,9
3115,남원생활체육관,06,제주특별자치도 서귀포시 남원읍 태위로 551-28,33.278181,126.704406,,,50,,,Y,9,9,9,9,9,9
3116,남원생활체육관,06,제주특별자치도 서귀포시 남원읍 태위로 551-28,33.278181,126.704406,,,50,,,Y,9,9,9,9,9,9
3117,난산리 다목적회관,06,제주특별자치도 서귀포시 성산읍 난산리 1074,33.401291,126.870952,,,50,,,Y,2,2,2,2,2,2
3118,난산리 다목적회관,02,제주특별자치도 서귀포시 성산읍 난산리 1074,33.401291,126.870952,,,50,,,Y,3,3,3,3,3,3
3119,서귀포의료원,06,제주특별자치도 서귀포시 동홍동 1530-2,33.25623,126.564014,,,50,,,Y,2,2,2,2,2,2
3120,수산1리 복지회관,06,제주특별자치도 서귀포시 성산읍 수산리 703-1,33.446088,126.883146,,,50,,,Y,2,2,2,2,2,2
3121,수산1리 복지회관,02,제주특별자치도 서귀포시 성산읍 수산리 703-1,33.446088,126.883146,,,50,,,Y,2,2,2,2,2,2
3122,수산1리 복지회관,02,제주특별자치도 서귀포시 성산읍 수산리 703-1,33.446088,126.883146,,,50,,,Y,2,2,2,2,2,2
3123,정방폭포,06,제주특별자치도 서귀포시 동홍동278,33.245004,126.573164,,,50,,,Y,2,2,2,2,2,2
3124,정방폭포,02,제주특별자치도 서귀포시 동홍동278,33.245004,126.573164,,,50,,,Y,2,2,2,2,2,2
3125,개인택시조합,06,제주특별자치도 제주시 노형동,33.482757,126.471945,,,50,,,Y,3,3,3,3,3,3
3126,개인택시조합,06,제주특별자치도 제주시 노형동,33.482757,126.471945,,,50,,,Y,2,2,2,2,2,2
3127,행복날개 주유소,06,제주특별자치도 제주시 용문로 12,33.505297,126.497593,,,50,,,Y,3,3,3,3,3,3
3128,행복날개 주유소,06,제주특별자치도 제주시 용문로 12,33.505297,126.497593,,,50,,,Y,2,2,2,2,2,2
3129,LH제주본부,06,제주특별자치도 제주시 전농로 100,33.504328,126.523778,,,50,,,Y,2,2,2,2,2,2
3130,국립제주박물관,06,제주특별자치도 제주시 일주동로 17,33.514248,126.54897,,,50,,,Y,2,2,2,2,2,2
3131,국립제주박물관,06,제주특별자치도 제주시 일주동로 17,33.514248,126.54897,,,50,,,Y,2,2,2,2,2,2
3132,국립제주박물관,04,제주특별자치도 제주시 일주동로 17,33.514248,126.54897,50,단독,50,,,Y,2,2,2,2,2,2
3133,김창열미술관,06,제주특별자치도 제주시 한림읍 용금로 883-5,33.339346,126.268699,,,50,,,Y,2,2,2,2,2,2
3134,김창열미술관,06,제주특별자치도 제주시 한림읍 용금로 883-5,33.339346,126.268699,,,50,,,Y,2,2,2,2,2,2
3135,도두동 주민센터,06,제주특별자치도 제주시 도두1길 9-1,33.50311,126.468194,,,50,,,Y,2,2,2,2,2,2
3136,동부농업기술센타,06,제주특별자치도 제주시 김녕남 6길 8,33.550276,126.750427,,,50,,,Y,2,2,2,2,2,2
3137,동부농업기술센타,06,제주특별자치도 제주시 김녕남 6길 8,33.550276,126.750427,,동시,50,,,Y,2,2,2,2,2,2
3138,동부농업기술센타,06,제주특별자치도 제주시 김녕남 6길 8,33.550276,126.750427,,,50,,,Y,9,9,9,9,9,9
3139,베스트힐 주차장(조천읍),06,제주특별자치도 제주시 조천읍 남조로 2109-38,33.456637,126.656834,,,50,,,Y,2,2,2,2,2,2
3140,부민장례식장,06,제주특별자치도 제주시 연북로 378,33.480499,126.521874,,,50,,,Y,9,9,9,9,9,9
3141,부민장례식장,06,제주특별자치도 제주시 연북로 378,33.480499,126.521874,,,50,,,Y,9,9,9,9,9,9
3142,서부경찰서,06,제주특별자치도 제주시 애월읍 애조로 215,33.473854,126.406239,,,50,,,Y,2,2,2,2,2,2
3143,서부경찰서,06,제주특별자치도 제주시 애월읍 애조로 215,33.473854,126.406239,,,50,,,Y,2,2,2,2,2,2
3144,송당리사무소,06,제주특별자치도 제주시 송당리 1265-1,33.471628,126.77915,,,50,,,Y,9,9,9,9,9,9
3145,애월119센터,06,제주특별자치도 제주시 애월읍 일주서로 6513,33.466829,126.348878,,,50,,,Y,3,3,3,3,3,3
3146,애월119센터,06,제주특별자치도 제주시 애월읍 일주서로 6513,33.466829,126.348878,,,50,,,Y,2,2,2,2,2,2
3147,유리의성,06,제주특별자치도 제주시 한경면 녹차분재로 462,33.31507,126.273427,,,50,,,Y,2,2,2,2,2,2
3148,유리의성,04,제주특별자치도 제주시 한경면 녹차분재로 462,33.31507,126.273427,,,50,,,Y,2,2,2,2,2,2
3149,유리의성,04,제주특별자치도 제주시 한경면 녹차분재로 462,33.31507,126.273427,,,50,,,Y,2,2,2,2,2,2
3150,유수암,06,제주특별자치도 제주시 애월읍 유수암리 1014,33.423829,126.407974,,,50,,,Y,3,3,3,3,3,3
3151,유수암,04,제주특별자치도 제주시 애월읍 유수암리 1014,33.423829,126.407974,,,50,,,Y,9,9,9,9,9,9
3152,제주 동부보건소,06,제주특별자치도 제주시 구좌읍 김녕료 14길 6,33.554663,126.751331,,,50,,,Y,2,2,2,2,2,2
3153,제주 동부보건소,06,제주특별자치도 제주시 구좌읍 김녕료 14길 6,33.554663,126.751331,,,50,,,Y,2,2,2,2,2,2
3154,조천119센터,06,제주특별자치도 제주시 조천읍 신북로 337,33.541344,126.64686,,,50,,,Y,3,3,3,3,3,3
3155,한라산국립공원 관음사탐방안내소,06,제주특별자치도 제주시 산록북로 588,33.422222,126.55028,,,50,,,Y,2,2,2,2,2,2
3156,한라산국립공원 어리목탐방안내소,06,제주특별자치도 제주시 1100로 2070-61,33.392437,126.494598,,,50,,,Y,2,2,2,2,2,2
3157,한라산국립공원 어리목탐방안내소,06,제주특별자치도 제주시 1100로 2070-61,33.392437,126.494598,,,50,,,Y,9,9,9,9,9,9
3158,해양경비안전센터 고산출장소,06,제주특별자치도 제주시 한경면 노을해안로 1145,33.308393,126.164154,,,50,,,Y,9,9,9,9,9,9
3159,해양경비안전센터 고산출장소,02,제주특별자치도 제주시 한경면 노을해안로 1145,33.308393,126.164154,,,50,,,Y,9,9,9,9,9,9
3160,가시리 조랑말체험공원,06,제주특별자치도 서귀포시 녹산로 381-15,33.376661,126.744774,,,50,,,Y,2,2,2,2,2,2
3161,강창학경기장,06,제주특별자치도 서귀포시 중산간서로 95,33.259867,126.50178,,,50,,,Y,3,3,3,3,3,3
3162,강창학경기장,06,제주특별자치도 서귀포시 중산간서로 95,33.259867,126.50178,,,50,,,Y,2,2,2,2,2,2
3163,강창학경기장,06,제주특별자치도 서귀포시 중산간서로 95,33.259867,126.50178,,,50,,,Y,2,2,2,2,2,2
3164,남원 의례회관 주차장,06,제주특별자치도 서귀포시 남원리 381,33.294428,126.711368,,,50,,,Y,2,2,2,2,2,2
3165,남원 의례회관 주차장,06,제주특별자치도 서귀포시 남원리 381,33.294428,126.711368,,,50,,,Y,3,3,3,3,3,3
