,충전소명,충전소ID,충전기ID,충전타입,주소,위도,경도,상태갱신일시,최종충전시작,최종충전종료,충전중시작,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(1분),0 : 1
2098,영도그린빌라,JE010174,03,02,제주특별자치도 제주시 애월읍 무수천길 5-6,33.461007,126.446036,20220625220301,20220624232541,20220625015911,20220624232541,,,50,,,Y,3,3
2099,영도그린빌라,JE010174,04,02,제주특별자치도 제주시 애월읍 무수천길 5-6,33.461007,126.446036,20220625232101,20220625182153,20220625231900,20220625182153,,,50,,,Y,2,2
2100,아트인명도암,JE010175,01,02,제주특별자치도 제주시 명림로 209,33.468038,126.611678,20220623011803,20220604134112,20220604164908,20220604134112,,,50,,,Y,2,2
2101,아트인명도암,JE010175,02,02,제주특별자치도 제주시 명림로 209,33.468038,126.611678,20220623011803,20220617122906,20220617141544,20220617122906,,,50,,,Y,2,2
2102,마리조아,JE010176,01,02,제주특별자치도 제주시 삼봉로 99,33.512459,126.589467,20220623205102,20220623192000,20220623204812,20220623192000,,,50,,,Y,2,2
2103,화인퍼스트빌7차,JE010177,01,02,제주특별자치도 제주시 간월동로 72-14,33.487614,126.550435,20220623073601,20220622183144,20220623020245,20220622183144,,,50,,,Y,2,2
2104,화인퍼스트빌7차,JE010177,02,02,제주특별자치도 제주시 간월동로 72-14,33.487614,126.550435,20220625013301,20220624234300,20220625013015,20220624234300,,,50,,,Y,2,2
2105,화인퍼스트빌7차,JE010177,03,02,제주특별자치도 제주시 간월동로 72-14,33.487614,126.550435,20220625214202,20220625193705,20220625214115,20220625193705,,,50,,,Y,2,2
2106,화인퍼스트빌7차,JE010177,04,02,제주특별자치도 제주시 간월동로 72-14,33.487614,126.550435,20220623234802,20220623203611,20220623234525,20220623203611,,,50,,,Y,2,2
2107,애비뉴빌,JE010178,01,02,제주특별자치도 제주시 도리중길 37-6,33.501575,126.461906,20220625123302,20220604154025,20220604172523,20220604154025,,,50,,,Y,2,2
2108,펠리시티아파트,JE010179,01,02,제주특별자치도 제주시 중산간동로 151,33.499873,126.606845,20220623050601,20220622191103,20220623050550,20220622191103,,,50,,,Y,2,2
2109,펠리시티아파트,JE010179,02,02,제주특별자치도 제주시 중산간동로 151,33.499873,126.606845,20220625195701,20220625161742,20220625195525,20220625161742,,,50,,,Y,2,2
2110,펠리시티아파트,JE010179,03,02,제주특별자치도 제주시 중산간동로 151,33.499873,126.606845,20220625163601,20220624174416,20220624184547,20220624174416,,,50,,,Y,3,3
2111,펠리시티아파트,JE010179,04,02,제주특별자치도 제주시 중산간동로 151,33.499873,126.606845,20220623011806,20220601184145,20220602081117,20220601184145,,,50,,,Y,2,2
2112,펠리시티아파트,JE010179,05,02,제주특별자치도 제주시 중산간동로 151,33.499873,126.606845,20220625101201,20220624190641,20220625100652,20220624190641,,,50,,,Y,2,2
2113,별헤는밤,JE010180,01,02,제주특별자치도 제주시 애월읍 광상로 348,33.443340,126.396623,20220625234801,20220624200954,20220624221620,20220624200954,,,50,,,Y,2,2
2114,별헤는밤,JE010180,02,02,제주특별자치도 제주시 애월읍 광상로 348,33.443340,126.396623,20220625191201,20220523214627,20220524003945,20220523214627,,,50,,,Y,2,2
2115,상명리 복지회관,JE010181,01,02,제주특별자치도 제주시 한림읍 상명1길 16-1,33.359888,126.271161,20220620040903,20220518131359,20220518141746,20220518131359,,,50,,,Y,2,2
2116,상명리 복지회관,JE010181,02,02,제주특별자치도 제주시 한림읍 상명1길 16-1,33.359888,126.271161,20220623011805,20220227174444,20220227182422,20220227174444,,,50,,,Y,2,2
2117,월림리 마을회관,JE010182,01,02,제주특별자치도 제주시 한림읍 월림7길 2,33.350810,126.255417,20220625211500,20220625192816,20220625211441,20220625192816,,,50,,,Y,2,2
2118,샹그릴라호텔,JE010183,01,02,제주특별자치도 제주시 해안마을북길 14-6,33.464336,126.453932,20220625235810,20220517074351,20220517083221,20220517074351,,,50,,,Y,9,9
2119,샹그릴라호텔,JE010183,03,02,제주특별자치도 제주시 해안마을북길 14-6,33.464336,126.453932,20220621201800,20220621195553,20220621201514,20220621195553,,,50,,,Y,2,2
2120,저청초등학교,JE010186,01,02,제주특별자치도 제주시 한경면 중산간서로 3591,33.325700,126.251738,20220625121501,20220625121056,20220625121212,20220624065308,,,50,,,Y,2,2
2121,신흥노을바다펜션,JE010187,01,05,제주특별자치도 제주시 서해안로 372,33.511675,126.484244,20220625142701,20220625133618,20220625142506,20220625133618,,,50,,,Y,2,2
2122,케이빌딩,JE010189,01,02,제주특별자치도 제주시 구남동8길 50,33.485832,126.535705,20220624121201,20220624101513,20220624120939,20220624101513,,,50,,,Y,2,2
2123,기룡비치하임아파트,JE010190,01,02,제주특별자치도 제주시 애월읍 하귀1길 1,33.488506,126.418960,20220623011806,20220618221202,20220619002431,20220618221202,,,50,,,Y,2,2
2124,기룡비치하임아파트,JE010190,02,02,제주특별자치도 제주시 애월읍 하귀1길 1,33.488506,126.418960,20220625222402,20220624203549,20220625025500,20220624203549,,,50,,,Y,3,3
2125,제주오메기이야기,JE010191,01,02,제주특별자치도 제주시 애월읍 광령남3길 49,33.451354,126.432500,20220624230300,20220624173440,20220624230005,20220624173440,,,50,,,Y,2,2
2126,영평지큐휴먼빌,JE010192,01,02,제주특별자치도 제주시 기와4길 22,33.480821,126.559438,20220625223002,20220625213019,20220625213108,20220625221103,,,50,,,Y,3,3
2127,영평지큐휴먼빌,JE010192,02,02,제주특별자치도 제주시 기와4길 22,33.480821,126.559438,20220625212101,20220624181514,20220624210638,20220624181514,,,50,,,Y,2,2
2128,해담은빌,JE010193,01,02,제주특별자치도 제주시 아연로 147,33.472642,126.507512,20220625173000,20220608172016,20220608181648,20220608172016,,,50,,,Y,2,2
2129,해피호텔,JE010194,01,02,제주특별자치도 제주시 은남4길 9,33.486196,126.494744,20220625084501,20220517080302,20220517095713,20220517080302,,,50,,,Y,2,2
2130,워시존 연북로점,JE010195,01,05,제주특별자치도 제주시 연북로 724,33.495440,126.553001,20220625231201,20220625180501,20220625183158,20220625180501,,,50,,,Y,3,3
2131,드림캐슬,JE010196,01,02,제주특별자치도 제주시 애월읍 중산간서로 6703-10,33.461862,126.444924,20220625222701,20220625171910,20220625195458,20220625171910,,,50,,,Y,3,3
2132,스카이워터쇼,JE010197,01,02,제주특별자치도 제주시 구좌읍 번영로 2172-80,33.424099,126.743784,20220624105701,20220509082848,20220509102336,20220509082848,,,50,,,Y,2,2
2133,스카이워터쇼,JE010197,02,02,제주특별자치도 제주시 구좌읍 번영로 2172-80,33.424099,126.743784,20220624123600,20220623140854,20220623152807,20220623140854,,,50,,,Y,2,2
2134,스카이워터쇼,JE010197,03,02,제주특별자치도 제주시 구좌읍 번영로 2172-80,33.424099,126.743784,20220624115101,20220624105051,20220624114909,20220624105051,,,50,,,Y,2,2
2135,리나더하우스,JE010198,01,02,제주특별자치도 제주시 애월읍 애월로14길 6,33.463467,126.321348,20220620013604,20220609155626,20220609170340,20220609155626,,,50,,,Y,2,2
2136,국제건축,JE010199,01,02,제주특별자치도 제주시 은수남길 91,33.463519,126.487005,20220623011805,20220430000300,20220430061459,20220430000300,,,50,,,Y,2,2
2137,국제건축,JE010199,02,02,제주특별자치도 제주시 은수남길 91,33.463519,126.487005,20220621105700,20220207130118,20220207130357,20220130213048,,,50,,,Y,2,2
2138,까사라벨로,JE010200,01,02,제주특별자치도 제주시 번영로 435,33.493531,126.589469,20220621105701,20220613174824,20220613202808,20220613174824,,,50,,,Y,2,2
2139,까사라벨로,JE010200,02,02,제주특별자치도 제주시 번영로 435,33.493531,126.589469,20220625203301,20220625194355,20220625195936,20220625194355,,,50,,,Y,3,3
2140,까사라벨로,JE010200,03,02,제주특별자치도 제주시 번영로 435,33.493531,126.589469,20220625021201,20220624202328,20220625021042,20220624202328,,,50,,,Y,2,2
2141,함덕천마에코피아아파트,JE010201,01,02,제주특별자치도 제주시 조천읍 함덕6길 39,33.539817,126.661329,20220623011802,20220620224301,20220621002955,20220620224301,,,50,,,Y,2,2
2142,함덕천마에코피아아파트,JE010201,02,02,제주특별자치도 제주시 조천읍 함덕6길 39,33.539817,126.661329,20220623182102,20220623174219,20220623181941,20220623174219,,,50,,,Y,2,2
