,이름,충전타입,주소,위도,경도,출력,충전방식,지역코드,이용자제한,이용자제한사유,무료 주차,실시간 상태(5분),0 : 1
407,롯데마트 통영점 옥상(지상3층)주차장,04,경상남도 통영시 무전대로,34.860807,128.428305,100,단독,48,,,Y,2,2
408,롯데마트 통영점 옥상(지상3층)주차장,04,경상남도 통영시 무전대로,34.860807,128.428305,100,단독,48,,,Y,2,2
409,롯데마트 통영점 옥상(지상3층)주차장,04,경상남도 통영시 무전대로,34.860807,128.428305,100,단독,48,,,Y,2,2
410,롯데마트 통영점 옥상(지상3층)주차장,04,경상남도 통영시 무전대로,34.860807,128.428305,100,단독,48,,,Y,2,2
411,한국폴리텍7대학 창원캠퍼스 보육관 앞,04,경상남도 창원시 성산구 외동반림로,35.228511,128.668974,100,단독,48,,,Y,2,2
412,한국폴리텍7대학 창원캠퍼스 보육관 앞,04,경상남도 창원시 성산구 외동반림로,35.228511,128.668974,100,단독,48,,,Y,2,2
413,한국폴리텍7대학 창원캠퍼스 보육관 앞,04,경상남도 창원시 성산구 외동반림로,35.228511,128.668974,100,단독,48,,,Y,2,2
414,한국폴리텍7대학 창원캠퍼스 보육관 앞,04,경상남도 창원시 성산구 외동반림로,35.228511,128.668974,100,단독,48,,,Y,2,2
415,이마트 양산점,04,경상남도 양산시 양산역6길 12,35.336834,129.026741,100,단독,48,,,N,2,2
416,이마트 양산점,04,경상남도 양산시 양산역6길 12,35.336834,129.026741,100,단독,48,,,N,2,2
417,이마트 통영점,04,경상남도 통영시 광도면 죽림4로 9,34.887106,128.418269,100,단독,48,,,N,2,2
418,이마트 통영점,04,경상남도 통영시 광도면 죽림4로 9,34.887106,128.418269,100,단독,48,,,N,2,2
419,거제국민체육센터,04,경상남도 거제시 거제면 서정리 790-1,34.8539289,128.5813105,100,단독,48,,,Y,2,2
420,한려해상국립공원 학동 주차장,04,경상남도 거제시 동부면 학동리 264,34.7755353,128.6410963,100,단독,48,,,Y,2,2
421,개천면사무소 주차장,04,경상남도 고성군 개천면 옥천로 1278,35.0985295,128.2589495,100,단독,48,,,Y,2,2
422,거류면사무소 주차장,04,경상남도 고성군 거류면 당동3길 5,34.99183689,128.40443497,100,단독,48,,,Y,2,2
423,구만면사무소 주차장,04,경상남도 고성군 구만면 영회로 1765,35.0878113,128.3348437,100,단독,48,,,Y,2,2
424,대가면사무소 주차장,04,경상남도 고성군 대가면 대가로 471,35.0171391,128.2985725,100,단독,48,,,Y,9,9
425,삼산면사무소 주차장,04,경상남도 고성군 삼산면 공룡로 2137,34.9367554,128.2734778,100,단독,48,,,Y,2,2
426,상리면사무소 주차장,04,경상남도 고성군 상리면 척번정1길 105,34.9997367,128.1862299,100,단독,48,,,Y,2,2
427,영현면사무소 주차장,04,경상남도 고성군 영현면 침점리 356-2,35.0541445,128.2057497,100,단독,48,,,Y,2,2
428,하이면사무소 주차장,04,경상남도 고성군 하이면 공룡로 979,35.4216175,127.8685360,100,단독,48,,,Y,2,2
429,하일면사무소 주차장,04,경상남도 고성군 하일면 공룡로 979,34.9433200,128.1928425,100,단독,48,,,Y,2,2
430,회화면사무소 주차장,04,경상남도 고성군 회화면 배둔로 80,35.0604335,128.3730498,100,단독,48,,,Y,2,2
431,봉황동유적지,04,경상남도 김해시 봉황동 465,35.2324727,128.8746114,100,단독,48,,,Y,3,3
432,김해하키경기장,04,경상남도 김해시 신어산길 44,35.2560185,128.9070152,100,단독,48,,,Y,2,2
433,김해문화의전당,04,경상남도 김해시 김해대로 2060,35.243612,128.869420,100,단독,48,,,Y,3,3
434,김해중소기업비즈니스센터,04,경상남도 김해시 주촌면 골든루트로 80-16,35.21265548,128.83131973,100,단독,48,,,Y,2,2
435,남해군종합사회복지관,04,경상남도 남해군 남해읍 망운로 32,34.8383382,127.8908154,100,단독,48,,,Y,2,2
436,밀양아리랑 천문대,04,경상남도 밀양시 밀양대공원로 86,35.50204940,128.76138311,100,단독,48,,,Y,2,2
437,사천읍종합행정타운,04,경상남도 사천시 사천읍 수석리 126,35.0875407,128.08828720,100,단독,48,,,Y,2,2
438,삼장면사무소,04,경상남도 산청군 삼장면 덕산대포로 257 ,35.2980419,127.8318175,100,단독,48,,,Y,2,2
439,단성면사무소,04,경상남도 산청군 단성면 목화로 985,35.2991194,128.9876557,100,단독,48,,,Y,2,2
440,신등면사무소,04,경상남도 산청군 신등면 신차로 576,35.3828030,128.0070211,100,단독,48,,,Y,2,2
441,유곡면사무소 주차장,04,경상남도 의령군 유곡면 마장로 10,35.4330222,128.3138635,100,단독,48,,,Y,2,2
442,부림공영주차장,04,경상남도 의령군 부림면 신반리 398,35.4661886,128.3262315,100,단독,48,,,Y,2,2
443,지정면종합운동장,04,경상남도 의령군 지정면 봉곡리511-2,35.3794593,128.3946687,100,단독,48,,,Y,2,2
444,시외버스터미널 (경남 의령군),04,경상남도 의령군 의령읍 서동리 277,35.3199803,128.2542802,100,단독,48,,,Y,2,2
445,의령시장제1주차장,04,경상남도 의령군 의령읍 서동리 509-4,35.3170164,128.2604734,100,단독,48,,,Y,2,2
446,이반성면사무소,04,경상남도 진주시 오봉산로 719,35.1393698,128.3262865,100,단독,48,,,Y,2,2
447,평거공영주차장,04,경상남도 진주시 평거동 202-1,35.1722552,128.0618444,100,단독,48,,,N,2,2
448,진주실내수영장,04,경상남도 진주시 남강로 1655,35.2094108,128.1248224,100,단독,48,,,Y,2,2
449,나불천복개도로 공영주차장,04,경상남도 진주시 신안동 9-3,35.1885431,128.0722122,100,단독,48,,,Y,2,2
450,논개시장 공영주차장,04,경상남도 진주시 장대로43번길 3-1,35.1951486,128.0876258,100,단독,48,,,N,2,2
451,정촌면사무소,04,경상남도 진주시 정촌면 화개리 976,35.1314730,128.1025175,100,단독,48,,,Y,2,2
452,창녕읍사무소 ,04,경상남도 창녕군 창녕읍 종로 38-9,35.5409246,128.5010126,100,단독,48,,,Y,2,2
453,조산공영주차장,04,경상남도 창녕군 창녕읍 조산리 16,35.5378079,128.4851175,100,단독,48,,,Y,2,2
454,성산노인복지관,04,경상남도 창원시 성산구 창이대로 781,35.2159250,128.7043743,100,단독,48,,,Y,2,2
455,진동종합복지관,04,경상남도 창원시 마산합포구 진동면 신서촌로15,35.1166146,128.4845083,100,단독,48,,,Y,2,2
456,상복공원,04,경상남도 창원시 성산구 공단로 474,35.1973046,128.6622088,100,단독,48,,,Y,2,2
457,창원축구센터,04,경상남도 창원시 성산구 비음로 97,35.2217293,128.7053470,100,단독,48,,,Y,2,2
458,가야전통시장,04,경상남도 함안군 가야읍 말산리113,35.2764008,128.4085196,100,단독,48,,,Y,2,2
459,칠서면사무소,04,경상남도 함안군 칠서면 청계2길 35,35.33328959,128.49833071,100,단독,48,,,Y,2,2
460,가회면사무소,04,경상남도 합천군 가회면 황매산로 52,35.4349244,128.0337785,100,단독,48,,,Y,2,2
461,거제시청,04,경상남도 거제시 계룡로 125,34.8805898,128.6219976,200,동시,48,,,Y,2,2
462,거제시청,04,경상남도 거제시 계룡로 125,34.8805898,128.6219976,200,동시,48,,,Y,2,2
463,한려해상국립공원 해금강 주차장,04,경상남도 거제시 남부면 갈곶리 85-2,34.7380989,128.6737220,200,동시,48,,,Y,2,2
464,한려해상국립공원 해금강 주차장,04,경상남도 거제시 남부면 갈곶리 85-2,34.7380989,128.6737220,200,동시,48,,,Y,2,2
465,고성군의회 주차장,04,경상남도 고성군 고성읍 대가로 13,34.9838008,128.3186308,200,동시,48,,,Y,2,2
466,고성군의회 주차장,04,경상남도 고성군 고성읍 대가로 13,34.9838008,128.3186308,200,동시,48,,,Y,2,2
467,고성군 폐기물종합처리장,04,경상남도 고성군 삼산면 대독산업로 7,34.9607033,128.3127061,200,동시,48,,,Y,2,2
468,고성군 폐기물종합처리장,04,경상남도 고성군 삼산면 대독산업로 7,34.9607033,128.3127061,200,동시,48,,,Y,2,2
469,대가저수지연꽃테마공원 주차장,04,경상남도 고성군 대가면 유흥리 304,35.0082948,128.2987137,200,동시,48,,,Y,2,2
470,대가저수지연꽃테마공원 주차장,04,경상남도 고성군 대가면 유흥리 304,35.0082948,128.2987137,200,동시,48,,,Y,2,2
471,고성군보건소 주차장,04,경상남도 고성군 고성읍 남포로79번길 103-3,34.9694961,128.3150966,200,동시,48,,,Y,2,2
472,고성군보건소 주차장,04,경상남도 고성군 고성읍 남포로79번길 103-3,34.9694961,128.3150966,200,동시,48,,,Y,2,2
473,무척산 주차장,04,경상남도 김해시 생림면 생철리 201,35.3470854,128.8549582,200,동시,48,,,Y,2,2
474,무척산 주차장,04,경상남도 김해시 생림면 생철리 201,35.3470854,128.8549582,200,동시,48,,,Y,2,2
475,창선생활 체육공원,04,경상남도 남해군 창선면 상죽리 10-9,34.8622626,128.0157225,200,동시,48,,,Y,2,2
476,창선생활 체육공원,04,경상남도 남해군 창선면 상죽리 10-9,34.8622626,128.0157225,200,동시,48,,,Y,2,2
477,서면사무소,04,경상남도 남해군 서면 스포츠로 676,34.8102374,127.8379232,200,동시,48,,,Y,2,2
478,서면사무소,04,경상남도 남해군 서면 스포츠로 676,34.8102374,127.8379232,200,동시,48,,,Y,2,2
479,남해실내체육관,04,경상남도 남해군 남해읍 화전로43번길 16,34.83355,127.8942124,200,동시,48,,,Y,2,2
